course_name,course_url,grading_basis,grading_trend,enrollment_trend,recent_reviews
CLASS 102,https://ucsbplat.com/curriculum/class/FALL%202025%2077321,Letter Grade,"[""A"", ""A""]","[35, 647]",[]
ARTHI 199RA,https://ucsbplat.com/curriculum/class/FALL%202025%2001594,Letter Grade,"[""A"", ""A+""]","[5, 7, 10, 5]",[]
MS 2AA,https://ucsbplat.com/curriculum/class/FALL%202025%2035923,Letter Grade,"[""A"", ""A+""]","[5, 40]",[]
THTR 149,https://ucsbplat.com/curriculum/class/FALL%202025%2048710,Letter Grade,"[""A"", ""A""]","[10, 6, 7]",[]
ECE 257A,https://ucsbplat.com/curriculum/class/FALL%202025%2057638,Letter Grade,"[""A-"", ""A""]","[30, 16, 18]",[]
GEOG 288SS,https://ucsbplat.com/curriculum/class/FALL%202025%2024364,Letter Grade,"[""A+""]","[8, 10]","[""Sweeney is my fav professor. Super cool surfer guy. 3 writing assignments at the start of the quarter. 2 midterms and a final. Content is super interesting but you def have to study. Honors section was the best part we just watched surf movies. If you can take this class, take it. He also rounded up my grade alot which I appreciate. Great dude. !!!""]"
ECE 196,https://ucsbplat.com/curriculum/class/FALL%202025%2013730,Letter Grade,"[""A"", ""A""]","[51, 9, 12]",[]
CLASS 195A,https://ucsbplat.com/curriculum/class/FALL%202025%2063313,Letter Grade,"[""A""]","[9, 5, 5]",[]
PHYS 594,https://ucsbplat.com/curriculum/class/FALL%202025%2040931,Letter Grade,[],"[30, 30]",[]
HIST 147G,https://ucsbplat.com/curriculum/class/FALL%202025%2056515,Letter Grade,"[""B+"", ""B+""]","[42, 42]","[""DO NOT TAKE AFRICAN HISTORY, unless you really love Africa. This class is sooooo much reading and its very boring. DO NO RECOMMEND""]"
CHEM 1A,https://ucsbplat.com/curriculum/class/FALL%202025%2004358,Letter Grade,"[""B"", ""A""]","[288, 24, 24]","[""Your experience is heavily dependent on your TA as they handle all the grading. Labflow (the website you use) is pretty horrendous and often incorrectly marks things wrong so watch out for that. The final is also always unnecessarily difficult so don't underestimate it. Most of this class feels like busy work, but it is pretty easy to succeed.""]"
MUS 295A,https://ucsbplat.com/curriculum/class/FALL%202025%2037549,Letter Grade,"[""A"", ""A""]","[20, 10]",[]
SPAN 139,https://ucsbplat.com/curriculum/class/FALL%202025%2055343,Letter Grade,"[""A+"", ""A+""]","[40, 10, 14]","[""Professor Kiley was the best when it came to communicating with students about assignments. She's very understanding and I would definitely take her again for future courses.""]"
FEMST 260,https://ucsbplat.com/curriculum/class/FALL%202025%2064931,Letter Grade,"[""A"", ""A-""]","[148, 30]","[""Lectures were a little boring but definitely got me interested in feminist studies. I liked section more because we were able to discuss the topic in small groups. Must read to be prepared for section, but it wasn't too much compared to other classes and most of them were interesting. I would say it was an easy A if you did the reading."", ""The textbook was expensive but you need it which I didn't like. Very easy class, but we did write a good amount. Again, that was easy and straightforward. I think my TA was a tough grader, but overall very easy.""]"
DANCE 199,https://ucsbplat.com/curriculum/class/FALL%202025%2010900,Letter Grade,"[""A"", ""B+""]","[5, 6, 10, 10]",[]
ECON 140A,https://ucsbplat.com/curriculum/class/FALL%202025%2015677,Letter Grade,"[""A"", ""B""]","[233, 25, 25]",[]
LATIN 596,https://ucsbplat.com/curriculum/class/FALL%202025%2028845,Letter Grade,[],"[5, 6]",[]
ART 199,https://ucsbplat.com/curriculum/class/FALL%202025%2001008,Letter Grade,"[""A"", ""A""]","[30, 10]",[]
COMM 505,https://ucsbplat.com/curriculum/class/FALL%202025%2010439,Pass/No Pass,[],"[43, 10, 43, 50]","[""I took COMM 156: Health Promotion with Professor Elder and I absolutely loved the class and her. I had a lot of outside stuff going on and wasn't able to take the midterm on time and she was super flexible and understanding which I was not expecting. Her lectures are super engaging and she makes it easy to do well in the class."", ""If you get a chance to learn from Professor Katherine Elder, do it. Taking this class was the best decision I've ever made in my college experience. She structures class and papers in a way where students can actually learn. It is also apparent that she deeply cares about each and every one of her students. Love her!"", ""I loved this class sm. Very easy weekly readings with a short writing. All exams are online. Lectures were fun and engaging and I laughed at least once per class. Katie is very chill and an amazing prof.""]"
TMP 191N,https://ucsbplat.com/curriculum/class/FALL%202025%2058586,Letter Grade,"[""A""]",[49],[]
FAMST 106A,https://ucsbplat.com/curriculum/class/FALL%202025%2022293,Letter Grade,"[""A-"", ""A""]","[90, 24]","[""Chris is super knowledgeable & one of my favorite professors! We made 3 short films in groups & had 3 quizzes. He gave us extra credit with a lighting & editing challenge. Put in work for the films to get a good grade. Study class notes & read everything he posts on Gauchospace to do well on quizzes. I would definitely recommend this class!!!""]"
CLASS 292,https://ucsbplat.com/curriculum/class/FALL%202025%2007286,Letter Grade,[],"[9, 6]",[]
ECE 153B,https://ucsbplat.com/curriculum/class/FALL%202025%2013375,Letter Grade,"[""A"", ""B""]","[59, 29, 30, 19]","[""While the subject is definitely not my strength or passion, Professor Isukapalli does a great job of teaching embedded systems fundamentals. I think his organization is very good and I appreciate the lecture slides/format. Also, the iClicker questions are good at making sure you are actually retaining the lecture material!""]"
INT 84AD,https://ucsbplat.com/curriculum/class/FALL%202025%2056762,Letter Grade,"[""A"", ""A""]","[20, 19]","[""Professor Park is very passionate and knowledgeable about the subject. He assigns a  lot of readings which can be difficult to understand and complete. 2 midterms and 1 final which are all in person written essay exams. Pretty difficult class but worthwhile subject""]"
GLOBL 130,https://ucsbplat.com/curriculum/class/FALL%202025%2025189,Letter Grade,"[""A"", ""A""]","[56, 18]","[""I took her class in the summer and it was AMAZING! she was an engaging speaker and i enjoyed lecture, 5/5 take her classes!""]"
WRIT 2,https://ucsbplat.com/curriculum/class/FALL%202025%2060459,Letter Grade,"[""A"", ""A""]","[25, 24, 25]","[""Overall Kevin is a great professor. He's kind and whatnot. However, he appears to try really hard to stand out and uses his website outside of Canvas which kind of overcomplicates things for those who aren't very tech savvy. If you're looking to take one of his courses I'd just recommend becoming more familiar with the ins and outs of Google Drive.""]"
FAMST 596,https://ucsbplat.com/curriculum/class/FALL%202025%2022608,Letter Grade,"[""A"", ""A""]","[10, 10]",[]
THTR 193H,https://ucsbplat.com/curriculum/class/FALL%202025%2048801,Letter Grade,[],"[60, 18]",[]
ECON 294,https://ucsbplat.com/curriculum/class/FALL%202025%2016105,Pass/No Pass,[],"[15, 5, 7]","[""Everything was super straight forward. You take 4 exams and the worst one gets dropped. Attendence for lectures and sections was optional but recommended. It's really clear what grade you are going to get so grade is expected. Slides were very well made and lectures are good. I really enjoyed this class and I am missing her in Econ 2."", ""I honestly really like her (and her outfits!). She is a decent lecturer, I think the harsher ratings mostly come from the fact that her tests seem unfair and there was no curve. However, I think she compensated by making the last test MUCH easier. You get to drop lowest test, no final, just unit-like exams. Average 13.5/15ish per test for an A."", ""She teaches the class like she's too good to be there. Explains concepts like we are already supposed to have mastered them, and the tests did not reflect the practice problems and testing materials she provided. I would strongly advise you to avoid this professor if you are an Econ major and want a high major GPA.""]"
GEOG 115A,https://ucsbplat.com/curriculum/class/FALL%202025%2024018,Letter Grade,"[""A"", ""A""]","[96, 24]","[""very interesting class that i took for my geography major. Prof is very clear about what he wants and his lectures outline the important parts of the textbook.  labs can be tedious at times but are fairly straightforward. TA is Shane Grigsby, he really knows his stuff and is very helpful as well""]"
ME 156A,https://ucsbplat.com/curriculum/class/FALL%202025%2035394,Letter Grade,"[""B+"", ""A-""]","[80, 75, 79]",[]
SOC 153,https://ucsbplat.com/curriculum/class/FALL%202025%2051110,Letter Grade,"[""A-"", ""B+""]","[90, 14, 40]","[""do not take this professor! did not get midterm grades until finals week and is very unorganized.""]"
CHEM 3L,https://ucsbplat.com/curriculum/class/FALL%202025%2058933,Letter Grade,[],[],[]
CHIN 197,https://ucsbplat.com/curriculum/class/FALL%202025%2070912,Letter Grade,[],[],[]
GEOG 197,https://ucsbplat.com/curriculum/class/FALL%202025%2051391,Pass/No Pass,[],"[19, 46]","[""Professor King is a great professor. It's clear she is passionate about the topics and she does a great job explaining them. a bit fast paced. There were 3 quizzes that were fairly simple if you study the slides and your notes. There is a project that was very open ended and could be pretty fun if you make it your own. lots of available resources.""]"
INT 191G,https://ucsbplat.com/curriculum/class/FALL%202025%2027821,Pass/No Pass,"[""0%""]","[22, 22, 10]","[""lectures were okay. the readings were super excessive. I recommend talking to your TA more because they can help you with your paper. One midterm, one 8 page paper, and one final. I ain't Asian, and I was scared of this class at first, but at the end, it wasn't thaaaattt bad. It was fairly interesting.""]"
CHIN 597,https://ucsbplat.com/curriculum/class/FALL%202025%2006882,Pass/No Pass,[],"[12, 5, 5]",[]
ECON 230D,https://ucsbplat.com/curriculum/class/FALL%202025%2062265/3,Letter Grade,"[""A"", ""A-""]","[5, 14, 21]","[""Everything was super straight forward. You take 4 exams and the worst one gets dropped. Attendence for lectures and sections was optional but recommended. It's really clear what grade you are going to get so grade is expected. Slides were very well made and lectures are good. I really enjoyed this class and I am missing her in Econ 2."", ""I honestly really like her (and her outfits!). She is a decent lecturer, I think the harsher ratings mostly come from the fact that her tests seem unfair and there was no curve. However, I think she compensated by making the last test MUCH easier. You get to drop lowest test, no final, just unit-like exams. Average 13.5/15ish per test for an A."", ""She teaches the class like she's too good to be there. Explains concepts like we are already supposed to have mastered them, and the tests did not reflect the practice problems and testing materials she provided. I would strongly advise you to avoid this professor if you are an Econ major and want a high major GPA.""]"
WRIT 105R,https://ucsbplat.com/curriculum/class/FALL%202025%2050237,Letter Grade,"[""A"", ""A""]","[24, 22]","[""She is an excellent teacher. She uses contract grading, and attendance is pretty mandatory. Two big essays and no final. Overall, she's a lovely person and a good teacher; I would highly recommend that people take her class."", ""Great professor. You can tell she really wants her students to succeed and makes sure we're always on the same page. Twice she extended our essays' due date so we could have more time to perfect them. Also v helpful to meet 1 on 1 with her. Lets you choose your own essay topic for the last essay which lets you choose something that interests you"", ""Such a great professor! She is very helpful and enthusiastic about the material. She grades essays very easily. 2 major papers, 1 presentation, and some little homework assignments. Not that much work for a writing class and very easy to get an A. Highly recommended, she is fantastic!""]"
EARTH 260,https://ucsbplat.com/curriculum/class/FALL%202025%2012526,Pass/No Pass,[],"[30, 6]","[""Enjoyed this class a lot. Dives into scientific literature which really helped me to understand how to read and digest papers.""]"
ART 261,https://ucsbplat.com/curriculum/class/FALL%202025%2001032,Letter Grade,"[""A"", ""A+""]","[10, 10, 15]",[]
ECE 189A,https://ucsbplat.com/curriculum/class/FALL%202025%2013680,Letter Grade,"[""A"", ""A""]","[51, 51]","[""While the subject is definitely not my strength or passion, Professor Isukapalli does a great job of teaching embedded systems fundamentals. I think his organization is very good and I appreciate the lecture slides/format. Also, the iClicker questions are good at making sure you are actually retaining the lecture material!"", ""Very practical and most important course I took here, prof. isukapalli is the ideal instructor for this class""]"
GEOG 131,https://ucsbplat.com/curriculum/class/FALL%202025%2024059,Letter Grade,"[""A+"", ""A+""]","[24, 24]",[]
LING 193,https://ucsbplat.com/curriculum/class/FALL%202025%2029454,Letter Grade,"[""A""]","[25, 22, 15]","[""This class was really interesting, but it is a lot like LING 70 if you have taken that class before. This was my first upper division class and it was still very manageable. She is super accommodating and very knowledgeable."", ""One of the best professors at UCSB. She clearly cares about her students and understands the struggles that students go through in college. The actual class is easy, lots of random work but easy stuff. Easy A, just show up and do your assignments."", ""Great class, but lectures were awkward at times due to Professor Bucholtz's white guilt that would show through some of the things she would say. Other than that, there are a lot of assignments, but a lot of things end up being dropped from your grade. No in-class midterm/final. Overall, an easy A. Just wish it was taught by a person of color.""]"
LING 170,https://ucsbplat.com/curriculum/class/FALL%202025%2057414,Letter Grade,"[""A"", ""A""]","[42, 90]","[""This class was really interesting, but it is a lot like LING 70 if you have taken that class before. This was my first upper division class and it was still very manageable. She is super accommodating and very knowledgeable."", ""One of the best professors at UCSB. She clearly cares about her students and understands the struggles that students go through in college. The actual class is easy, lots of random work but easy stuff. Easy A, just show up and do your assignments."", ""Great class, but lectures were awkward at times due to Professor Bucholtz's white guilt that would show through some of the things she would say. Other than that, there are a lot of assignments, but a lot of things end up being dropped from your grade. No in-class midterm/final. Overall, an easy A. Just wish it was taught by a person of color.""]"
MATH 137A,https://ucsbplat.com/curriculum/class/FALL%202025%2032292,Letter Grade,"[""A-"", ""A""]","[45, 60, 11]","[""I really enjoyed this class even though I hate lin algebra. The only complaint I had was the grading scheme: hw, quizzes, mt1, mt2, final were worth 20% each. I understand he did this to help us out, but for me, I scored high on the exams and low on the hw and quizzes, so I ended with a B. He's very helpful though and never condescending."", ""Bigelow is the best professor for Math4A!! Take his Math4A!!! tests and homework are very easy!! Easy A!!""]"
MCDB 251,https://ucsbplat.com/curriculum/class/FALL%202025%2034694,Letter Grade,"[""A"", ""A-""]","[9, 12, 41]",[]
PSY 199P,https://ucsbplat.com/curriculum/class/FALL%202025%2045435,Pass/No Pass,[],[],[]
FAMST 104,https://ucsbplat.com/curriculum/class/FALL%202025%2007385,Letter Grade,"[""A"", ""A""]","[24, 50, 90, 55]",[]
PSY 102,https://ucsbplat.com/curriculum/class/FALL%202025%2045039,Letter Grade,"[""A"", ""A""]","[310, 326]","[""Dr. Yu is a good professor but the content of this class is super dry. It should be called Social Psychology Research not Social Psychology, all you learn about is studies. He grades fairly and you get a cheat sheet on the exams. Meh class"", ""Professor Yu is such a nice professor. You get cheat sheets on the exams and they are pretty straight forward. All the material on exams is from lectures, so reading the textbook is not completely necessary. Overall, a pretty easy and low demanding class.""]"
GER 1,https://ucsbplat.com/curriculum/class/FALL%202025%2024539,Letter Grade,"[""A"", ""A""]","[28, 26, 24]","[""I LOVE Anna (and the rest of the German department). She is so sweet and caring. Classes/homework/quizzes are extremely easy. There is homework every day and a quiz every Thursday, but HW takes 15 minutes tops and practice quizzes are provided the day before. If you want to take a language I would highly recommend German with any of the profs."", ""If you're thinking of taking German, take it with Anna. She was such a great professor and made class every day fun! You'd get homework every day (takes like 20-30 minutes to complete) and a small test every Thursday. Great class!!!"", ""She was the sweetest and most understanding professor. When learning a new language such as Deutsch it could be intimidating but she makes it so easy to learn. This class was a refresher.""]"
HIST 194PE,https://ucsbplat.com/curriculum/class/FALL%202025%2026955,Letter Grade,[],"[150, 15]",[]
ANTH 170,https://ucsbplat.com/curriculum/class/FALL%202025%2000570,Letter Grade,"[""A-"", ""A-""]","[57, 35]","[""Professor Lawson is one of the most charismatic professors I have had at UCSB. His lectures are concise and very entertaining. The class is about 8 assignments and he drops the lowest score. The midterm was easy and the final is worth 30% of your grade which is a group project comprised of a presentation and policy brief."", ""Professor Lawson was so awesome! His lectures are super interesting, and class discussions were open ended and fun. Homework assignments were pretty straight forward and he drops one. 2 group projects, but graded fairly. The final was fair amount of work but a super interesting topic and format for a group project. Not an easy A but worth taking.""]"
PHIL 100C,https://ucsbplat.com/curriculum/class/FALL%202025%2054643,Letter Grade,"[""A"", ""B""]","[57, 29]",[]
PHYS 6C,https://ucsbplat.com/curriculum/class/FALL%202025%2039545,Letter Grade,"[""A"", ""A""]","[97, 187, 286]",[]
HIST 194AH,https://ucsbplat.com/curriculum/class/FALL%202025%2026948,Letter Grade,"[""A"", ""A""]","[15, 150, 15]","[""such a bad professor, rambles A LOT, mumbles, stutters and speaks really fast, can't understand half of what she says. I wish i never took this class. Midterms are 4 short response, 1 essay question, for second midterm it's a take home paper that's being graded tough. TA tough graders but helpful, without them i wouldn't know what what's going on"", ""Really bad professor, she rambles/stutters and yaps too much. Feels like she won't prepare you for the midterms, 2 days in, I already wanna drop. All she do is glaze maps and really boring lecture, don't even go. Hopefully the readings will be fine... Try to not get this class pls."", ""I feel like a lot of these ratings on her teaching style are unfair, I thoroughly enjoyed her class and she has an obvious passion for teaching. I would recommend using her office hours as she will help you shape your essays and is clear with what she wants. I would definitely take her again given the opportunity, but a lot of writing and readings.""]"
COMM 129,https://ucsbplat.com/curriculum/class/FALL%202025%2010215,Letter Grade,"[""A""]",[32],"[""If you are not comfortable hearing his &#8220;bragging&#8221; about how much power he has as a rich, middle-age, white straight male; don't take this class! Also, he has sum very questionable viewpoints towards the underlying causes of SA/ rape cases. And he would mock students when they ask questions, which is not my type of humor. Overall, do not recommend.""]"
ME 151A,https://ucsbplat.com/curriculum/class/FALL%202025%2035345,Letter Grade,"[""A"", ""A""]","[75, 14]","[""He is a great professor, nevertheless his final isn't on the easy side at all. Might be a bit confusing since he alsways states that his test will be about what you covered in the homework - not necessarily true!  But, his lectures are interesting that the topics are easily understood!""]"
ECON 9,https://ucsbplat.com/curriculum/class/FALL%202025%2014837,Letter Grade,"[""B"", ""A""]","[246, 69, 58]","[""she is one of those professors who doesn't care about you or your grade and there's a reason they had her stop teaching this class almost a decade ago. not sure y she is back but i rlly hope for future econ majors she's gone by next yr again"", ""I thought Bedard was a great professor! Yes, the exams are difficult, esp if you put minimal time in studying, which a lot of my friends did, but if you take this major class srsly you'll be fine! Bedard drops ur lowest test score (very generous imo) so I didn't have to take the final to get an A. HW was simple & she answered Qs I had about topics!"", ""The exams in this class are tough, but if you put in the work, you'll be fine. The professor is strict on attendance, but the textbook and resources like Unstuck AI can really help with studying. Overall, a challenging but rewarding class.""]"
C LIT 100,https://ucsbplat.com/curriculum/class/FALL%202025%2067181,Letter Grade,"[""A"", ""A""]","[29, 6]",[]
PHYS 198,https://ucsbplat.com/curriculum/class/FALL%202025%2040758,Letter Grade,"[""A"", ""A""]",[30],[]
ED E 321,https://ucsbplat.com/curriculum/class/FALL%202025%2017046,Letter Grade,"[""A"", ""A""]","[10, 21]",[]
SOC 199RA,https://ucsbplat.com/curriculum/class/FALL%202025%2047522,Pass/No Pass,[],"[13, 9, 8]",[]
ECE 595C,https://ucsbplat.com/curriculum/class/FALL%202025%2014035,Pass/No Pass,[],"[20, 10]",[]
ME 219,https://ucsbplat.com/curriculum/class/FALL%202025%2035659,Letter Grade,"[""A"", ""A-""]","[9, 16]",[]
ECE 10AL,https://ucsbplat.com/curriculum/class/FALL%202025%2012914,Letter Grade,"[""A"", ""A+""]","[22, 30, 30]",[]
WRIT 109V,https://ucsbplat.com/curriculum/class/FALL%202025%2050583,Letter Grade,"[""A-"", ""A-""]","[20, 19]","[""Dr. Harris was a delight to have for 109HP this quarter. If you're lucky enough to get into this class, you'll benefit from the ethical discussions about healthcare for intellectual stimulation as well as benefitting from feedback on your first professional medical/nursing school mock interview, personal statement, and resume. One of the sweetest!"", ""She's a great teacher that really loved teaching us and helping us out with writing! I would recommend it.""]"
THTR 122,https://ucsbplat.com/curriculum/class/FALL%202025%2057968,Letter Grade,"[""A"", ""A""]","[11, 11]",[]
CHEM 2AL,https://ucsbplat.com/curriculum/class/FALL%202025%2054148,Letter Grade,"[""B"", ""B+""]","[19, 20]",[]
CHEM 2BL,https://ucsbplat.com/curriculum/class/FALL%202025%2054403,Letter Grade,"[""B""]",[16],[]
ECON 185,https://ucsbplat.com/curriculum/class/FALL%202025%2051680,Letter Grade,"[""A-"", ""B+""]","[60, 89, 60]","[""This class was so much work for a pre-major class. Get ready to spend several hours every single week reading the textbook + doing the WileyPlus hw problems, which are extremely challenging (TAs sometimes get them wrong too) + doesn't even reflect questions on his difficult exams. !! He also imposes a curve so that only 10% of students get an A !!!"", ""Scott is the best possible accounting professor, he is super nice and very savvy in the material he covers. I would especially recommend this class due to the Simulations we do in class where he emulates a conversation with an actual CFO. However, the final portion of this class is self taught in the background during the sims which sucks."", ""LOVE SCOTT!!! Best professor ever! Very difficult class tho&#8230;but it is curved!""]"
MUS 24,https://ucsbplat.com/curriculum/class/FALL%202025%2036574,Letter Grade,"[""A"", ""A""]",[10],[]
PHYS CS 31,https://ucsbplat.com/curriculum/class/FALL%202025%2041004,Pass/No Pass,[],[21],[]
MATH 6A,https://ucsbplat.com/curriculum/class/FALL%202025%2031179,Letter Grade,"[""A"", ""A""]","[133, 19]",[]
GEOG 276,https://ucsbplat.com/curriculum/class/FALL%202025%2061663,Letter Grade,"[""A"", ""A+""]","[8, 12]","[""This class had way too much going on. There were 3 essays, a group project, mandatory attendance, weekly labs, weekly assignments, multiple weekly readings, a midterm, and a final. Most of it was pretty simple, but it felt like tons of busy work. I didn't hate the professor, lectures were boring, but went weirdly into physics."", ""There were so many parts to this class it was a bit overwhelming but wasn't hard. I found his lectures to be kinda boring but the material was interesting at times. There was a group project which wasn't difficult at all but I personally hate them."", ""Do not take him for Tropical Meteorology (GEOG133)!! I am a hardworking student, but this class likes to stack up work on top of work. Look for a different professor. I enjoyed my first meteorology class, but this class turned me off from the subject completely. DO NOT TAKE!!!""]"
CHEM 2AL,https://ucsbplat.com/curriculum/class/FALL%202025%2054957,Letter Grade,"[""B"", ""B+""]","[20, 16]",[]
GEOG 500,https://ucsbplat.com/curriculum/class/FALL%202025%2024372,Pass/No Pass,[],"[14, 8]","[""Professor King is a great professor. It's clear she is passionate about the topics and she does a great job explaining them. a bit fast paced. There were 3 quizzes that were fairly simple if you study the slides and your notes. There is a project that was very open ended and could be pretty fun if you make it your own. lots of available resources.""]"
FAMST 46MS,https://ucsbplat.com/curriculum/class/FALL%202025%2022103,Letter Grade,"[""A"", ""A""]","[9, 243, 100]","[""Her lectures were a bit boring since the material is pretty clear but the class is a blast. I'm a film major but I recommend this to anyone who needs their art credit and writing. We wrote 2 papers (3 pages and 5 pages) and watch movies during Friday lecture. Don't do the readings, they don't matter, just  participate in section.""]"
CHEM 173A,https://ucsbplat.com/curriculum/class/FALL%202025%2006379,Letter Grade,"[""B+"", ""A""]","[30, 14]",[]
ECON 5,https://ucsbplat.com/curriculum/class/FALL%202025%2014779,Letter Grade,"[""A"", ""A""]","[48, 48]","[""Awful professor. This class will not teach you everything. You're going to have to learn everything on your own. If you can avoid him, please do!""]"
MUS 112A,https://ucsbplat.com/curriculum/class/FALL%202025%2072660,Letter Grade,[],[],"[""The class is fairly easy if you do the work. You have 4 written take home assignments, all 2-3 pages double spaced and the final is also take home. She is really sweet and passionate about what she teaches, if you have an interest on the HISTORY of music and how its used as a political medium then this class is for you. Easy A if u do the work!""]"
MCDB 126AL,https://ucsbplat.com/curriculum/class/FALL%202025%2033951,Letter Grade,"[""A"", ""A""]","[22, 22]",[]
ME 154,https://ucsbplat.com/curriculum/class/FALL%202025%2035378,Letter Grade,"[""A+"", ""A+""]","[45, 25]",[]
HIST 199RA,https://ucsbplat.com/curriculum/class/FALL%202025%2027037,Letter Grade,"[""A"", ""A""]","[26, 12, 6, 8]",[]
EEMB 144,https://ucsbplat.com/curriculum/class/FALL%202025%2016220,Letter Grade,"[""A"", ""B+""]","[72, 72]",[]
IQB 290HW,https://ucsbplat.com/curriculum/class/FALL%202025%2028068,Letter Grade,[],[8],"[""Herb seems like an okay guy, but his class is brutal. His lectures suck, no rhythm and overly complex. If this class is not required DO NOT TAKE. I was lost for most of the lectures, but understood homework thanks to the TA. His take home exams are 40+ hours each, and he grades pretty difficult too. On the upside there's a fat curve.""]"
CHEM 2BL,https://ucsbplat.com/curriculum/class/FALL%202025%2054478,Letter Grade,"[""B""]",[16],[]
HEB 1,https://ucsbplat.com/curriculum/class/FALL%202025%2025551,Letter Grade,"[""A"", ""A+""]","[15, 15]",[]
KOR 199,https://ucsbplat.com/curriculum/class/FALL%202025%2028688,Letter Grade,"[""A+"", ""A+""]","[21, 25, 25]",[]
LING 242,https://ucsbplat.com/curriculum/class/FALL%202025%2057547,Letter Grade,"[""A""]",[10],"[""Great guy. Excellent teacher. Really loves what he does and it's really cool the way students are kept engaged in the frequent class discussions. He provides printed handouts to follow along but they are online too. Lecture covers them and adds a bit to em so it's worth it to show up to class. I found the material very easy and enjoyable. 10/10."", ""Love this class, not only because this is my major. The project is stressful but every other aspect of that class is really easy-going. The professor is such a sweet man. If I could, I would take this class again!"", ""Very friendly. Willing to help outside of class. You can learn a lot from him in office hours if you are interested in his field of study. Definitely a great professor to talk to! I wish I could've taken more of his classes! Tests are based on Notes and definitions from book. Project was do-able; just don't procrastinate!""]"
ED 229D,https://ucsbplat.com/curriculum/class/FALL%202025%2016683,Pass/No Pass,[],"[8, 6, 24, 20]",[]
GER 598,https://ucsbplat.com/curriculum/class/FALL%202025%2024752,Letter Grade,[],"[5, 10]",[]
HIST 148B,https://ucsbplat.com/curriculum/class/FALL%202025%2056531,Letter Grade,"[""B+"", ""B+""]","[42, 7, 42]","[""Stay away at all costs. Just like the last review said, this class was extremely disorganized with no clear grading criteria. You will need to read 20-50 pages a week, as expected of a GE. Prof. was very inaccessible online, however, and no-showed office hours he said were required. If doing for a GE, stay away from this Prof. TAs are good though."", ""DON'T waste your time on this professor. We were supposed to meet for 3 hrs on Mondays, but he canceled 7/10 times. When class did happen, it was only an hour. He even had the nerve to give an impromptu quiz after a month of canceled classes. The syllabus was one paragraph w/ no grading scale, & assignments seem thrown together. Unorganized class."", ""Wouldn't recommend taking this class as a GE because of how much work and reading goes into it. They said that class was mandatory but didn't enforce it, I only had a couple of sections that weren't cancelled as well. Fall 2021 might've been a weird quarter for the professor and TA's, but this class was so difficult that it was unapproachable.""]"
TMP 240,https://ucsbplat.com/curriculum/class/FALL%202025%2066852,Letter Grade,"[""A+"", ""A""]","[5, 5, 5, 5]",[]
ANTH 99,https://ucsbplat.com/curriculum/class/FALL%202025%2000455,Letter Grade,"[""A"", ""A""]","[29, 6, 38]",[]
