course_name,course_url,professor,enrollment_trend,grading_trend,review_1,review_2,review_3
ANTH 245IA,https://ucsbplat.com/curriculum/class/FALL%202025%2064121,David Lawson,8/10,A|A,Weekly discussion of IAS faculty and graduate student work in progress,"No ruberic for assignments, and Killgalen marks off points for no reason, even when following instructions to a T. Ended with 93.7% and didn't round to an A or allow for EC, even tho syllabus mentions EC available. Just bad.","When students asked questions in class or tried to answer his questions, he was pretty condescending.The class is mislabeled as Behavior Ecology on Gold but was actually a Hunter gatherer ecology class. I did like the limited amount of assignments, but just beware that they're graded harshly"
ART 120NP,https://ucsbplat.com/curriculum/class/FALL%202025%2076653,Andre Rodrigues,18/18,A|A,"Bad for giving such a low rating because he's a nice person, but he's not the best lecturer. If you take his 6B class, be ready to learn on your own, which is possible these days with khan academy and such. He's ready to help though if you need it.","You can't read anything he writes at all and he doesn't go into details or explanations and he will correct himself at the end of an example problem so your notes are all wrong, choose a different professoe.",Never take his course! Terrible handwriting. Confusing exam and homework. U would never know what he wants u do! I decide to acquire for F and retake this course. PLZ never take his course!!!!!!!!!!
ART 189A,https://ucsbplat.com/curriculum/class/FALL%202025%2052233,Tyler Susko,2/5,A,Makes test ridiculously long for no reason and 70% of the grade. Good lecture though. Grade received in the class does not reflect student's knowledge because of how test are structured. He wants to see half the class fail. No curve.,"Kit was a bit of a mess, not the fault of the professor, just a lot of hardware and software problems that made completing the required labs difficult but Susko was pretty accommodating. Weekly labs (with reports) and a final.","Prerecorded lectures are all over the place, making the content extremely difficult to follow. Quizzes and final were quite difficult, and often frustrating, especially when they are poorly worded, or have you flipping all around the book to find the appropriate diagrams. Also, all the material covered is completely useless imo."
ARTHI 105R,https://ucsbplat.com/curriculum/class/FALL%202025%2052340,Heather Badamo,59/60,No data,"We had weekly readings that were easy to understand and informative, and the lectures followed the readings. The course included 2-3 exams, and she provided a helpful study guide for each. We were also assigned a group project at the end of the quarter, which I enjoyed.","You really do have to take good notes, and pay attention to the readings (1/week), but I didn't find it more difficult than usual. Study guides are extremely similar to the actual test. She is clearly passionate about this subject.","There were 2 midterms (so easy) MCQ, SA and vocab matching. The final was a group presentation but she gave you plenty of time to work on it. Reading is important and shows up on tests. But overall really great class."
ARTHI 187A,https://ucsbplat.com/curriculum/class/FALL%202025%2001529,Alicia Boswell,15/15,A,If you want a easy GE don't take this class its a joke. She gives you almost 100 terms on the final and only testing you on 4 not including 3 separate essays you have to write with the multiple choice map question + close reading. All section attendance is required and if u miss one u get dropped.,"Way too much work for a GE with a lot of required reading and research that's barely used outside of the final project. Midterm, Final Project, and Final make up 90% of the grade. Expects way too much on the midterm and especially the final","A poll was taken during the first section - 90% taking for GE, but still papers required outside sources from UCSB library and both midterm and final were brutal. Memorization heavy and excessive readings. DO NOT TAKE if you don't like the subject because lectures are boring and it will not be an easy GE."
ARTHI 192C,https://ucsbplat.com/curriculum/class/FALL%202025%2001552,Jenni Sorkin,15/15,No data,"If you are a student who values communication with professors, don't take her class. She is unapproachable, rude, passive aggressive and impatient. Additionally, any time I participated in class discussions or express an opinion I had about an art piece or text, she would take my words completely out of context and assume that I was bigoted.","Her energy very comfortable & likable. She interacted with the class a lot and gave great lectures, although sometimes felt unnecessary. Did a total of 5 papers including a group project slide show toward the end of the course. She's very keen on attendance and not leaving early. Came off strict at times. Learned more through section.",They are just photos of art pieces that don't need to be shown. I learned more in the section than in the lectures.
ARTHI 6H,https://ucsbplat.com/curriculum/class/FALL%202025%2052266,Alicia Boswell,198/200,A|A,If you want a easy GE don't take this class its a joke. She gives you almost 100 terms on the final and only testing you on 4 not including 3 separate essays you have to write with the multiple choice map question + close reading. All section attendance is required and if u miss one u get dropped.,"A poll was taken during the first section - 90% taking for GE, but still papers required outside sources from UCSB library and both midterm and final were brutal. Memorization heavy and excessive readings. DO NOT TAKE if you don't like the subject because lectures are boring and it will not be an easy GE.","Material was very important, readings were easily manageable and the midterm grading was so chill! as long as you go to class you'll do great, though lectures can be really boring. midterm, research paper, final, and extra credit for seeing the campus art museum."
BIOE 211,https://ucsbplat.com/curriculum/class/FALL%202025%2002204,Siddharth Dey,9/30,A|A,"Mass transfer is a difficult class and he does a good job of being accessible for office hours outside of class, so go to those if you want to survive the class with a desire to continue the ChemE degree.","Dey lectures using examples from the textbook, but unlike the textbook his explanations are thorough and easy to follow. I also appreciated how neat and well-written his notes were. Homework assignments were short. Two midterms and one final, with inconsistent difficulties. I look forward to taking him again in 120C.",Studying the textbook really well is essential to pass the exams.
CHEM 102,https://ucsbplat.com/curriculum/class/FALL%202025%2005850,Darby Feldwinn,2/13,B|B,"Having said that, really hard quizzes and tests (much harder than most of the stuff learned in class). Book problems are a must. Only teaches 8 ams. Honestly one of my favorite chem professors due to her lecture style but hard class.",Learned a lot but it is almost impossible to get an A in this class.,Never take her class.
CHEM 109A,https://ucsbplat.com/curriculum/class/FALL%202025%2005884,Javier Alaniz,350/350,A|A,"Reaction mechanisms include electrophilic addition, substitution, and elimination reactions.","The class is nowhere near as hard as people make it out to be and should not be scary, though, one may need to put some effort into understanding the material.",
CHEM 109A,https://ucsbplat.com/curriculum/class/FALL%202025%2005876,Robert Lewis,350/350,B-|B,"Although this class was very hard, Lewis is the best teacher I've had at UCSB. It feels like he actually cares about the success of his students, and people only rank him badly because they don't know the difference between a hard professor and a hard class. Don't expect a curve unless you're taking the class a quarter late!","Genuinely everyone I talked to either failed the class, or had no idea what was going on. The curve was insane (I went from a C- to a B+). IDK how this guy can look around, see that MOST of his students are failing, then just change their grades and move on like they will succeed in future classes. Class averages for tests were around 40%. wtf?",Was so hard and honestly did not prepare you well the only reason people did okay was because of the curve.
CHEM 109C,https://ucsbplat.com/curriculum/class/FALL%202025%2005900,Robert Lewis,241/300,B|C,"HIs exams for 109C were not bad, but they were filled with questions that tested specific textbook knowledge, so READ THE TEXTBOOK. He's super responsive/helpful in Canvas discussions, so take advantage of that too. 109C wasn't as bad as 109B, but you still need to work a lot to get a decent grade.","OCHEM is definitely tough and requires self-discipline and commitment&#8212;you'll feel overwhelmed at times. But Dr. Lewis is one of the best professors out there. He teaches with such clarity and calmness that the material feels more approachable. He's also kind, patient, and genuinely encourages questions.","Him for the whole 109 series, is a great lecturer and provides very useful practice exams before the exams. doing the practice book problems is necessary to succeed on exams. very kind and understanding when you dont complete hw on time and office hours are helpful to clear up confusion. difficult course but put in the time and you're good"
CHEM 110L,https://ucsbplat.com/curriculum/class/FALL%202025%2005926,Faye Walker,54/54,A-|C,"Lab should be more about learning new techniques and less about writing 10 page lab reports sometimes multiple times a week. I will say though, people give her a bit too much hate. She had to adapt the stuff from even worse professors before her. You got this soldier","The lab manuals and lecture slides were full of mistakes, often resulting in confusion for us and the TA's. There is so much work and very little information for help. Unfortunately, the course cannot be avoided and the TA makes or breaks your grade. Mine was a king (thank god), but I know others were not. Good luck","This class was horribly managed, the lectures were disorganized and paced incredibly pooly. The slides were frequently full of errors, the workload of the class greatly exceeds any other class here at UCSB, and the final was full of multiple incredibly irrelevant questions that provide no benefit to the student for knowing."
CHEM 112A,https://ucsbplat.com/curriculum/class/FALL%202025%2005983,Lior Sepunaru,96/110,B+|B,"He gives you everything you need to succeed, it's just a matter of you putting in the time/effort. He made the material really interesting and connected it with real-life examples. 10/10 this is how difficult classes should be taught.","Our averages were a bit lower than he expected which might be due to how he lectures, in my opinion. He explains it great for the people who get high Bs and As but not for the rest and the lectures and explanations feel catered towards them mostly. Go to OH & review sessions, those should help.","He really spend a lot of time to explain stuffs that people don't really understand, but that makes the class a bit too slow. However, I guess pchem for biochem students isn't really a tough course, so he's probably a fairly reasonable professor."
CHEM 113A,https://ucsbplat.com/curriculum/class/FALL%202025%2006056,Horia Metiu,32/32,A|D,"Once, he just repeated the last lecture again (even with the mistakes he made last time). He could not recall the correct form of equations - many times in each lecture he omitted or mistakenly added minus signs. Metiu's teaching brought disgrace to this university, which I would agree.","Grade 50% homework, 50% take home final. Doesn't seem like much chemistry, all math. Lecture content very consistent with textbook so you can catch up with textbook if you miss lecture. My TA didn't seem like they knew Mathematica well, but check grading standards with TAs since they grade. His office hours are more helpful for content/learning.",Mathematica is confusing and TAs docked points from work that was correct (worked with professor). Small small curve that saved me
CHEM 127,https://ucsbplat.com/curriculum/class/FALL%202025%2054551,Armen Zakarian,14/50,A|A,"Zakarian is the best professor to take Chem 109C with. He's very clear in lectures, although utilizing the textbook is essential when it comes to passing the class. He's probably the fairest prof in the CHEM dept when it comes to exam expectations and preparation. As long as you do the practice midterms and book problems, you'll do good.",Awesome professor! By far the easiest Ochem professor at UCSB. His exams are super fair and reflect what you learn in lecture. Definitely read the book!,
CHEM 129,https://ucsbplat.com/curriculum/class/FALL%202025%2006213,Yang Hai,25/30,A|A,"Don't get fooled by his grading system, the homework seemed easy, but no partial credit (averages ~ 50/100). Studying for the exams were a nightmare because there's so much material, and he never emphasized anything. The exams were insanely difficult, NO amount of studying could have prepared me for them. avoid!","He's a very smart professor and it shows during lectures. I really liked the content of this class. But the exams were grueling- He teaches so many topics but only covers a select few on the exams, making it hard to prep for. The TA was very nice tho. I would really recommend taking /110 since those classes are more clear and fair.",
CHEM 129,https://ucsbplat.com/curriculum/class/FALL%202025%2006213,Yang Yang,25/30,A|A,"A survey of reactions of organic substances with emphasis on those with practical synthetic utility, including discussion of mechanism, scope and limitations, and steriochemical issues.","He's a very smart professor and it shows during lectures. I really liked the content of this class. But the exams were grueling- He teaches so many topics but only covers a select few on the exams, making it hard to prep for. The TA was very nice tho. I would really recommend taking /110 since those classes are more clear and fair.",
CHEM 134,https://ucsbplat.com/curriculum/class/FALL%202025%2006270,Andrea Carlini,25/25,A|A+,"EALLY love her as a person, she's smart and gave me insight about my future in chem. She gave me points back on a midterm that was bad. With that being said. hated the structure of the class. Was graded off how fast you could do math rather than concepts. Quizzes were hard. Lectures were okay, but its very clear she is a research professor.","The Lectures are easy, the tests are hard because time-limited and long questions.","She was an okay lecturer, but her lectures and tests are almost exactly like Feldwinn. No partial credit on free response exams, which is frustrating. However, ALEKS is a big part of grade and I ended up getting 44 extra credit points from iclicker. Nice professor, bad exams."
